datum,land,type,slachtoffers,publicatie_datum,Nederland_ind,Europe_ind,World_ind,man_made,Marokko_ind,Turkije_ind,Belgie_ind,Duitsland_ind,Indonesie_ind,Polen_ind,Suriname_ind,Oceanie_ind,Afrika_ind,Amerika_ind,Asie_ind
2022-07-16,Spanje,bosbrand,0,16.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,Frankrijk,natuurbranden,0,18.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,Frankrijk,bosbrand,0,21.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,Australië,bosbrand,4,7.12.2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-08-13,Afghanistan,,0,13.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-21,Peru,noodtoestand,0,21.03.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-24,Zuid-amerika,gewelddadige protesten,,24.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-23,Madagaskar,hongersnood,0,23.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-07-31,Japan,coronavirus,0,31.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-28,Amerika,orkaan,0,28.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,Afghanistan,humanitaire crisis,0,15.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-04,Sri lanka,protesten en rellen,30,2.04.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-30,Verenigde staten,orkaan,0,30.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-12-16,Filipijnen,tyfoon,0,16.12.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-10-25,Mexico,orkaan,0,25.10.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-12,Verenigde staten,tornado,19,12.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-05-15,Nederland,bosbrand,0,15.05.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,Griekenland,bosbranden,0,6.08.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,Griekenland,bosbrand,12,21.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,Canada,storm,0,25.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-07,Mozambique,orkaan,1000,1.07.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-12,Niger,aanval militair kamp,71,11.12.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-16,Zimbabwe,hongercrisis,0,16.10.2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-08-09,Noord- zuid-korea,tyfoon lingling,8,8.09.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-27,Japan,tyfoon,0,27.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-25,Nederland,bosbrand,0,25.04.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,India,tropische storm,6,16.05.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-14,Indonesië,geweld tijdens dekolonisatie,0,14.06.2019,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-15,Spanje,,0,15.03.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Verenigde staten,tropische storm,0,14.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-20,Australië,overstroming,0,20.03.2021,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-22,Nederland,bosbrand,0,22.05.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,Vanuatu,verplaatsing,0,1.12.2022,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-08-18,Noord-korea,hongersnood,0,18.08.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-05-23,Nederland,brand,0,23.05.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,China,pandemie,1800000,1.01.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-06-04,Nederland,bosbrand,0,6.04.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,Japan,tyfoon,0,3.09.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-08,Verenigde staten,bosbrand,0,1.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-06-02,Ethiopië,hongersnood,0,6.02.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2022-08-28,Oekraïne,nucleair ongeval,0,28.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,Nederland,bosbranden,0,14.09.2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,Nigeria,overstroming,603,17.10.2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-12-17,Afghanistan,coronavirus epidemie,0,17.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
